Hora,ADC
16:40:42.196,8215
16:40:42.235,8297
16:40:42.275,8424
16:40:42.317,8516
16:40:42.356,8421
16:40:42.396,8374
16:40:42.436,8484
16:40:42.475,8523
16:40:42.516,8520
16:40:42.556,8496
16:40:42.597,8509
16:40:42.637,8491
16:40:42.677,8587
16:40:42.716,8515
16:40:42.756,8197
16:40:42.797,8097
16:40:42.836,8182
16:40:42.876,8315
16:40:42.915,8298
16:40:42.956,8381
16:40:42.995,8221
16:40:43.037,8301
16:40:43.077,8412
16:40:43.117,8439
16:40:43.155,8360
16:40:43.195,8384
16:40:43.236,8433
16:40:43.277,8553
16:40:43.315,8557
16:40:43.355,8466
16:40:43.395,8480
16:40:43.436,8577
16:40:43.477,8629
16:40:43.515,8666
16:40:43.555,8620
16:40:43.596,8580
16:40:43.636,8525
16:40:43.676,8316
16:40:43.717,8274
16:40:43.756,8164
16:40:43.795,8186
16:40:43.836,8299
16:40:43.875,8397
16:40:43.916,8455
16:40:43.956,8332
16:40:43.996,8265
16:40:44.036,8290
16:40:44.075,8441
16:40:44.116,8468
16:40:44.157,8408
16:40:44.196,8367
16:40:44.235,8438
16:40:44.275,8532
16:40:44.316,8575
16:40:44.356,8499
16:40:44.396,8509
16:40:44.434,8592
16:40:44.475,8736
16:40:44.515,8736
16:40:44.556,8648
16:40:44.597,8524
16:40:44.636,8247
16:40:44.676,8201
16:40:44.716,8282
16:40:44.755,8296
16:40:44.797,8257
16:40:44.837,8305
16:40:44.876,8362
16:40:44.917,8430
16:40:44.955,8329
16:40:44.996,8311
16:40:45.036,8358
16:40:45.077,8432
16:40:45.115,8569
16:40:45.156,8582
16:40:45.196,8525
16:40:45.237,8525
16:40:45.277,8604
16:40:45.318,8628
16:40:45.356,8608
16:40:45.395,8695
16:40:45.437,8780
16:40:45.476,8871
16:40:45.517,8782
16:40:45.556,8752
16:40:45.596,8336
16:40:45.635,8224
16:40:45.675,8282
16:40:45.717,8422
16:40:45.755,8377
16:40:45.795,8390
16:40:45.835,8560
16:40:45.875,8685
16:40:45.915,8730
16:40:45.955,8665
16:40:45.995,8626
16:40:46.035,8595
16:40:46.075,8686
16:40:46.116,8777
16:40:46.157,8758
16:40:46.197,8700
16:40:46.237,8681
16:40:46.276,8715
16:40:46.317,8808
16:40:46.355,8838
16:40:46.397,8750
16:40:46.436,8791
16:40:46.476,8931
16:40:46.516,8735
16:40:46.556,8446
16:40:46.596,8281
16:40:46.637,8363
16:40:46.675,8415
16:40:46.717,8533
16:40:46.756,8443
16:40:46.795,8423
16:40:46.836,8535
16:40:46.875,8585
16:40:46.916,8687
16:40:46.955,8642
16:40:46.995,8601
16:40:47.036,8595
16:40:47.077,8696
16:40:47.115,8735
16:40:47.155,8685
16:40:47.196,8660
16:40:47.235,8749
16:40:47.277,8815
16:40:47.317,8887
16:40:47.356,8914
16:40:47.396,8750
16:40:47.437,8636
16:40:47.476,8668
16:40:47.517,8524
16:40:47.557,8463
16:40:47.596,8421
16:40:47.636,8458
16:40:47.675,8576
16:40:47.716,8604
16:40:47.757,8566
16:40:47.797,8525
16:40:47.836,8569
16:40:47.876,8680
16:40:47.916,8761
16:40:47.956,8701
16:40:47.996,8649
16:40:48.037,8611
16:40:48.076,8646
16:40:48.116,8738
16:40:48.155,8803
16:40:48.196,8772
16:40:48.236,8713
16:40:48.277,8720
16:40:48.314,8670
16:40:48.355,8562
16:40:48.395,8297
16:40:48.437,8349
16:40:48.476,8475
16:40:48.515,8530
16:40:48.556,8479
16:40:48.596,8363
16:40:48.636,8322
16:40:48.677,8480
16:40:48.716,8555
16:40:48.756,8621
16:40:48.795,8538
16:40:48.836,8565
16:40:48.876,8647
16:40:48.916,8736
16:40:48.956,8649
16:40:48.998,8637
16:40:49.038,8623
16:40:49.076,8734
16:40:49.117,8841
16:40:49.157,8756
16:40:49.198,8667
16:40:49.235,8589
16:40:49.276,8412
16:40:49.352,8411
16:40:49.434,8421
16:40:49.501,8387
16:40:49.577,8404
16:40:49.647,8438
16:40:49.725,8566
16:40:49.803,8588
16:40:49.890,8544
16:40:49.943,8517
16:40:49.989,8574
16:40:50.017,8742
16:40:50.043,8712
16:40:50.069,8700
16:40:50.096,8634
16:40:50.124,8713
16:40:50.151,8791
16:40:50.178,8911
16:40:50.203,8719
16:40:50.228,8721
16:40:50.252,8758
16:40:50.275,8771
16:40:50.298,8704
16:40:50.324,8488
16:40:50.349,8372
16:40:50.372,8469
16:40:50.396,8572
16:40:50.420,8573
16:40:50.442,8498
16:40:50.465,8530
16:40:50.487,8622
16:40:50.516,8684
16:40:50.555,8702
16:40:50.597,8597
16:40:50.638,8562
